case,h,candidate_basis,status,error_message,candidate_kind,fit_scope,feature_family,feature_scope,active_stage_rows,training_sample_count,basis_row_count,compression_row_count,source_consistency_rows,velocity_stage_rows,active_velocity_rows,nonlinear_feature_rows,nonlinear_feature_rank,nonlinear_feature_condition,finite_difference_eps,finite_difference_direction_count,source_row_second_differential_used,all_row_second_differential_used,uses_final_stage_velocity_feature,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,basis_condition,target_jacobian_norm,oracle_correction_norm,nonlinear_projected_correction_norm,nonlinear_correction_residual_norm,nonlinear_correction_relative_residual,max_nonlinear_row_relative_residual,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,value_residual_norm,value_level_balance_ok,meaningful_nonfinal_energy,target_jacobian_used_for_capacity_fit,target_direction_oracle_used_for_formula,endpoint_boundary_source_removed,target_terminal_boundary_row_used,terminal_row_replacement_used,projection_used,accepted_h_sweep_present,full_tfe_stage_replacement,nonlinear_capacity_spans_target,blocking_gap,next_repair_target,notes
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,second_diff_source_rows_perp_along_active_velocity,source-row second differential along active non-final velocity rows,"0,1",1,24,8,16,24,16,256,46,1.1779127547570171e+04,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764577088e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921758e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,9.7791034130950856e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,active_plus_second_diff_source_rows_perp,active non-final velocity plus source-row second differential,"0,1",1,24,8,16,24,16,272,54,1.2125992814584899e+04,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764577986e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921713e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,5.0377566028500581e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,source_active_plus_second_diff_source_rows_raw,source consistency and active rows plus raw source-row second differential,"0,1",1,24,8,16,24,16,288,70,1.0577057468005228e+05,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764582420e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921608e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,6.5509898203827328e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,second_diff_all_rows_perp_along_active_velocity,all source-free lower-pair row second differential along active non-final velocity rows,"0,1",1,24,8,16,24,16,384,46,1.1071583709381495e+04,1.0000000000000001e-05,16,True,True,False,8,132,24,28,4,8.6132133764575940e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921736e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.7498103729959173e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,second_diff_source_rows_perp_along_source_rows,source-row second differential along source-consistency rows,"0,1",1,24,8,16,24,16,256,46,7.4920989782368179e+03,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764580908e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921724e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,3.3621242343700562e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_stage_scalar_value_fit,case_local_nonlinear_capacity_oracle_fit,source_active_plus_second_diff_source_rows_perp_along_source_active,source and active rows plus source-row second differential along source/active rows,"0,1",1,24,8,16,24,16,544,70,1.1060895674124422e+03,1.0000000000000001e-05,32,True,False,False,8,132,24,28,4,8.6132133764579476e+02,3.7127280938507345e-01,3.6464473006524034e-01,2.5748614039921730e-01,2.5819888974716110e-01,7.0808342602665753e-01,9.9214876648145423e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.5830256580074234e-15,6.7406137997733683e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,second_diff_source_rows_perp_along_active_velocity,source-row second differential along active non-final velocity rows,"0,1",6,24,8,16,24,16,256,46,1.1779127547570171e+04,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764576895e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272999e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,1.0815863655774916e-14,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,active_plus_second_diff_source_rows_perp,active non-final velocity plus source-row second differential,"0,1",6,24,8,16,24,16,272,54,1.2125992814584899e+04,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764577929e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272949e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,4.9590330801064780e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,source_active_plus_second_diff_source_rows_raw,source consistency and active rows plus raw source-row second differential,"0,1",6,24,8,16,24,16,288,70,1.0577057468005228e+05,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764583170e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272871e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,7.0380583459997543e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,second_diff_all_rows_perp_along_active_velocity,all source-free lower-pair row second differential along active non-final velocity rows,"0,1",6,24,8,16,24,16,384,46,1.1071583709381495e+04,1.0000000000000001e-05,16,True,True,False,8,132,24,28,4,8.6132133764576508e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272994e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,4.0131699111267345e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,second_diff_source_rows_perp_along_source_rows,source-row second differential along source-consistency rows,"0,1",6,24,8,16,24,16,256,46,7.4920989782368179e+03,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132133764578850e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272938e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,4.2604064526306563e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,universal_nonlinear_capacity_value_scalar_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,universal_nonlinear_capacity_nonfinal_stage_scalar_value_fit,all_case_h_nonlinear_capacity_oracle_fit,source_active_plus_second_diff_source_rows_perp_along_source_active,source and active rows plus source-row second differential along source/active rows,"0,1",6,24,8,16,24,16,544,70,1.1060895674124422e+03,1.0000000000000001e-05,32,True,False,False,8,132,24,28,4,8.6132133764577713e+02,3.7127280938507345e-01,3.6464473007478193e-01,2.5748614041272960e-01,2.5819888974716110e-01,7.0808342600812924e-01,9.9214876647879036e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,2.3928505737314613e-15,7.6071816433064978e-18,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
cylindrical_smooth,0.04,case_local_nonlinear_capacity_value_component_nonfinal,paper_tfe_lower_pair_velocity_compression_nonlinear_capacity_gap_not_full_tfe,,case_local_nonlinear_capacity_nonfinal_component_diagonal_value_fit,case_local_nonlinear_capacity_oracle_fit,second_diff_source_rows_perp_along_active_velocity,source-row second differential along active non-final velocity rows,"0,1",1,24,8,16,24,16,256,46,1.1779127547570171e+04,1.0000000000000001e-05,16,True,False,False,8,132,24,28,4,8.6132135806197437e+02,3.7127280938507345e-01,3.6505364663439654e-01,2.5806491093212264e-01,2.5819888974716110e-01,7.0729026302741982e-01,9.9214876647800720e-01,2.5819888974716110e-01,6.9544249732375274e-01,9.9030198830521510e-01,7.6880608383684783e-15,1.0969092796788381e-33,True,True,True,False,True,True,False,False,False,False,False,The tested non-final second-differential source features do not reproduce the local correction.,derive higher-order or nonlocal non-final source features for the coefficient-gradient law,"This is a finite-difference capacity audit. It perturbs the existing source-free lower-pair row Jacobian along non-final active/source row directions, then projects the local oracle correction onto those second-differential feature rows. It is not a formula and not a trajectory h-sweep."
