case,history_mode,h,dictionary_group,coefficient_law,status,error_message,bootstrap_step_count,newton_converged,residual_norm,min_jacobian_rank,raw_terminal_endpoint_velocity_constraint_norm,history_source_norm,source_curvature_norm,candidate_formula_count,selected_formula_count,selected_laws,gain_values,basis_row_count,target_row_count,stage_unknown_count,basis_rank,augmented_rank,independent_target_rank,projection_residual_norm,projection_relative_residual,max_row_relative_residual,min_row_relative_residual,missing_direction_rank,missing_direction_dominant_variable_family,missing_direction_dominant_variable_fraction,missing_direction_stage0_fraction,missing_direction_stage1_fraction,missing_direction_stage2_fraction,coefficient_law_spans_terminal_bridge,coefficient_l1_norm,coefficient_l2_norm,max_abs_coefficient,coefficient_min,coefficient_max,coefficient_law_present,coefficient_law_is_bounded,coefficient_derivative_included,coefficient_law_uses_closure_value_norms,candidate_jacobian_used_for_coefficient,target_jacobian_used_for_formula,target_direction_oracle_used,target_bridge_used_for_scoring_only,accepted_h_sweep_present,full_tfe_stage_replacement,blocking_gap,next_repair_target
cylindrical_smooth,zero_initial,0.04,scalar_gradient,uniform_average,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,4,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3615293075029637,0.9737564894706779,0.9993995947295529,0.9207825440416149,8,translation_velocity_v,0.5100582110083499,9.433709812844718e-08,9.504943321489733e-08,0.9999998106134688,False,1.0,0.5,0.25,0.25,0.25,True,True,False,False,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,scalar_gradient,max_closure_delta_selector,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,1,curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3615271821054729,0.9737507648459894,0.9994020345758423,0.9207784502870802,8,translation_velocity_v,0.5100527709325009,7.314364703789292e-07,7.370018912227286e-07,0.9999985315616386,False,1.0,1.0,1.0,0.0,1.0,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,scalar_gradient,min_closure_delta_selector,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,1,normalized_curvature_plus_history_delta@1e+08,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.36153020658290186,0.9737589110860385,0.9993978488209445,0.9207905958814234,8,translation_velocity_v,0.5100579984158176,3.396580432273776e-15,3.4363537465363303e-15,0.9999999999999932,False,1.0,1.0,1.0,0.0,1.0,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,scalar_gradient,closure_delta_norm_weights,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,4,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.36152732106736246,0.9737511391311136,0.9994019383332764,0.9207785757558108,8,translation_velocity_v,0.5100532138923976,6.764324666780828e-07,6.81590946083565e-07,0.9999986419765876,False,0.9999999999999999,0.6938845493265857,0.4905596432250212,0.009440356774999019,0.4905596432250212,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,scalar_gradient,inverse_closure_delta_norm_weights,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,4,4,curvature_plus_history_delta@1e+08;curvature_plus_history_delta@1e+12;normalized_curvature_plus_history_delta@1e+08;normalized_curvature_plus_history_delta@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.36153017485590305,0.9737588256313594,0.9993979013880837,0.9207901009443297,8,translation_velocity_v,0.5100580876404583,1.2190375767734993e-10,1.233277628919221e-10,0.9999999997547685,False,1.0,0.6938845493265858,0.49055964322500106,0.00944035677499863,0.49055964322500106,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,uniform_average,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,8,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3464027462138596,0.9330140464295413,0.9844149913521018,0.8674658514990399,8,translation_velocity_v,0.5160994881527177,0.01807221127187384,0.01784892956005267,0.9640788591680736,False,1.0,0.3535533905932738,0.125,0.125,0.125,True,True,False,False,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,max_closure_delta_selector,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,1,stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3227006385469141,0.8691739076750044,0.9515369144693698,0.6821450966388758,8,translation_velocity_v,0.5233718415732629,0.012820249099161603,0.012695219005764494,0.9744845318950738,False,1.0,1.0,1.0,0.0,1.0,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,min_closure_delta_selector,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,1,stage2_velocity_column_broadcast_feature@1e+08,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3615301529624072,0.973758766662603,0.9993978625571698,0.9207897081169384,8,translation_velocity_v,0.5100581858602701,1.2131120936694658e-09,1.2108172996671367e-09,0.9999999975760705,False,1.0,1.0,1.0,0.0,1.0,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,closure_delta_norm_weights,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,8,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3259710826696011,0.8779826435695116,0.9640786544724862,0.6791461956146909,8,translation_velocity_v,0.5400076242428912,0.012261224028132988,0.012158311299975329,0.9755804646718916,False,1.0,0.6734647663835929,0.5965978127687941,4.790783284364229e-06,0.5965978127687941,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
cylindrical_smooth,zero_initial,0.04,stage2_matrix_core,inverse_closure_delta_norm_weights,paper_tfe_lower_pair_recurrent_stage2_feature_coefficient_law_screen_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,8,8,stage2_velocity_column_broadcast_feature@1e+08;stage2_velocity_column_broadcast_feature@1e+12;stage2_velocity_shifted_column_broadcast_feature@1e+08;stage2_velocity_shifted_column_broadcast_feature@1e+12;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+08;stage2_velocity_diagonal_plus_row_broadcast_feature@1e+12;stage2_velocity_symmetric_broadcast_feature@1e+08;stage2_velocity_symmetric_broadcast_feature@1e+12,"1.0e+08,1.0e+12",24,8,132,24,32,8,0.3615298796938716,0.9737580306309609,0.9993982897792082,0.9207891568163339,8,translation_velocity_v,0.510059029341769,2.756983562816403e-09,2.7069400291971655e-09,0.9999999945360764,False,1.0,0.6470450586494778,0.5518973055918814,4.431830505788173e-06,0.5518973055918814,True,True,False,True,False,False,False,True,False,False,These frozen target-free coefficient/selection laws do not turn the spanning dictionary into a single local terminal-bridge formula.,derive state-dependent bounded coefficients with derivative terms rather than frozen value-norm selection
